genotype_as_str,fitness,depth,number_of_the_generation,time_since_the_start_of_the_evolution,seed
np.log(1 + np.abs(np.sqrt(np.abs(np.sin(np.sqrt(np.abs(np.sqrt(np.abs(np.tanh(np.tanh(np.log(1 + np.abs((x2 - np.log(1 + np.abs((np.exp((8 * x3))/np.sin((7 + x4))))))))))))))))))),0.0475996573086155,28,1,0.5911140441894531,0
np.log(1 + np.abs(np.sqrt(np.abs(np.sin(np.sqrt(np.abs(np.sqrt(np.abs(np.tanh(np.tanh(np.log(1 + np.abs((x2 - np.log(1 + np.abs((np.exp((8 * x3))/np.sin((7 + x4))))))))))))))))))),0.0475996573086155,28,1,0.5911140441894531,0
np.tanh(np.tanh(np.sqrt(np.abs(np.tanh(np.sqrt(np.abs((((8 + (np.sqrt(np.abs(5))/np.tanh((np.sin(np.tanh(x1)) + np.tanh(np.exp(7)))))) + 3) * x0)))))))),0.04824934589933117,28,1,0.5911140441894531,0
np.sin(np.log(1 + np.abs(np.sqrt(np.abs((np.tanh(np.log(1 + np.abs(x1)))/((np.exp(np.tanh((9 - np.sin(np.log(1 + np.abs(np.tanh(np.exp(0)))))))) - x0) * np.sin(np.sin(np.sqrt(np.abs(np.log(1 + np.abs(x4))))))))))))),0.048922150519769725,28,1,0.5911140441894531,0
np.sin(np.log(1 + np.abs(np.sqrt(np.abs((np.tanh(np.log(1 + np.abs(x1)))/((np.exp(np.tanh((9 - np.sin(np.log(1 + np.abs(np.tanh(np.sqrt(np.abs(2))))))))) - x0) * np.sin(np.sin(np.sqrt(np.abs(np.log(1 + np.abs(x4))))))))))))),0.04892225472751657,28,1,0.5911140441894531,0
np.tanh(np.tanh(np.exp(np.tanh((np.exp(0)/(((np.exp(np.exp(x3)) * 8) - np.tanh(np.log(1 + np.abs(np.sqrt(np.abs(np.tanh((np.log(1 + np.abs(8)) - x3)))))))) * np.log(1 + np.abs(np.sqrt(np.abs((9 - (np.log(1 + np.abs(9))/np.log(1 + np.abs(((x4 + 7)/np.log(1 + np.abs(x0))))))))))))))))),0.04899698535929031,28,1,0.5911140441894531,0
np.sin(np.tanh((np.log(1 + np.abs(np.log(1 + np.abs(1)))) * np.tanh((7 * (np.sqrt(np.abs(x4)) * x2)))))),0.04913094600522978,16,1,0.5911140441894531,0
np.log(1 + np.abs(np.tanh((((np.sin(((6 * np.tanh((x0 * x2))) * np.tanh(np.sin(np.sqrt(np.abs(np.tanh(np.log(1 + np.abs((5 - 0))))))))))/x0) - (x0/np.exp(((((np.log(1 + np.abs(np.tanh(np.exp(8))))/np.sqrt(np.abs(np.exp(np.sqrt(np.abs(9))))))/2)/x1) * 3)))) * np.tanh(np.tanh((np.exp(x1)/((np.log(1 + np.abs(np.sqrt(np.abs(4)))) + np.tanh(x2)) + (1 + (np.tanh(np.exp(np.log(1 + np.abs((x1 + x4))))) * (np.sqrt(np.abs(((x3 - x2) * (x0/x2)))) * np.sqrt(np.abs(np.sqrt(np.abs(np.sin(8)))))))))))))))),0.04937669198114112,28,1,0.5911140441894531,0
np.sin(np.tanh((np.log(1 + np.abs(np.log(1 + np.abs(1)))) * np.tanh(((np.tanh(np.tanh(np.exp((np.sin((np.log(1 + np.abs(x0)) * (7 + 6))) * 0)))) + 2) * (np.sqrt(np.abs(x4)) * x2)))))),0.04942657982415921,28,1,0.5911140441894531,0
np.sin(np.tanh((np.log(1 + np.abs(np.log(1 + np.abs(1)))) * np.tanh(((np.tanh(np.tanh(np.exp((np.sin((np.log(1 + np.abs(x0)) * (7 + 6))) * 0)))) + 2) * (np.sqrt(np.abs(x4)) * x2)))))),0.04942657982415921,28,1,0.5911140441894531,0
